STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
        403;2017011007;   10;  0.00;eor
        403;2017011008;   10; 14.00;eor
        403;2017011009;   10; 60.00;eor
        403;2017011010;   10; 60.00;eor
        403;2017011011;   10; 42.00;eor
        403;2017011012;   10; 52.00;eor
        403;2017011013;   10; 60.00;eor
        403;2017011014;   10; 60.00;eor
        403;2017011015;   10; 60.00;eor
        403;2017011016;   10;  6.00;eor
        403;2017011017;   10;  0.00;eor
        403;2017011018;   10;  0.00;eor
        403;2017011019;   10;  0.00;eor
        403;2017011020;   10;  0.00;eor
        403;2017011103;   10;  0.00;eor
        403;2017011104;   10;  0.00;eor
        403;2017011105;   10;  0.00;eor
        403;2017011106;   10;  0.00;eor
        403;2017011107;   10;  0.00;eor
        403;2017011108;   10;  0.00;eor
        403;2017011109;   10;  0.00;eor
        403;2017011110;   10;  0.00;eor
        403;2017011111;   10;  0.00;eor
        403;2017011112;   10;  0.00;eor
        403;2017011113;   10;  0.00;eor
        403;2017011114;   10;  0.00;eor
        403;2017011115;   10;  0.00;eor
        403;2017011116;   10;  0.00;eor
        403;2017011117;   10;  0.00;eor
        403;2017011118;   10;  0.00;eor
        403;2017011119;   10;  0.00;eor
        403;2017011120;   10;  0.00;eor
        403;2017011203;   10;  0.00;eor
        403;2017011204;   10;  0.00;eor
        403;2017011205;   10;  0.00;eor
        403;2017011206;   10;  0.00;eor
        403;2017011207;   10;  0.00;eor
        403;2017011208;   10;  0.00;eor
        403;2017011209;   10;  0.00;eor
        403;2017011210;   10;  0.00;eor
        403;2017011211;   10;  0.00;eor
        403;2017011212;   10;  0.00;eor
        403;2017011213;   10;  0.00;eor
        403;2017011214;   10;  5.00;eor
        403;2017011215;   10;  0.00;eor
        403;2017011216;   10;  0.00;eor
        403;2017011217;   10;  0.00;eor
        403;2017011218;   10;  0.00;eor
        403;2017011219;   10;  0.00;eor
        403;2017011220;   10;  0.00;eor
        403;2017011303;   10;  0.00;eor
        403;2017011304;   10;  0.00;eor
        403;2017011305;   10;  0.00;eor
        403;2017011306;   10;  0.00;eor
        403;2017011307;   10;  0.00;eor
        403;2017011308;   10;  0.00;eor
        403;2017011309;   10;  0.00;eor
        403;2017011310;   10;  0.00;eor
        403;2017011311;   10;  0.00;eor
        403;2017011312;   10;  0.00;eor
        403;2017011313;   10;  0.00;eor
        403;2017011314;   10;  0.00;eor
        403;2017011315;   10;  0.00;eor
        403;2017011316;   10;  0.00;eor
        403;2017011317;   10;  0.00;eor
        403;2017011318;   10;  0.00;eor
        403;2017011319;   10;  0.00;eor
        403;2017011320;   10;  0.00;eor
        403;2017011403;   10;  0.00;eor
        403;2017011404;   10;  0.00;eor
        403;2017011405;   10;  0.00;eor
        403;2017011406;   10;  0.00;eor
        403;2017011407;   10;  0.00;eor
        403;2017011408;   10;  0.00;eor
        403;2017011409;   10;  0.00;eor
        403;2017011410;   10;  0.00;eor
        403;2017011411;   10;  0.00;eor
        403;2017011412;   10;  0.00;eor
        403;2017011413;   10;  0.00;eor
        403;2017011414;   10; 49.00;eor
        403;2017011415;   10; 33.00;eor
        403;2017011416;   10;  0.00;eor
        403;2017011417;   10;  0.00;eor
        403;2017011418;   10;  0.00;eor
        403;2017011419;   10;  0.00;eor
        403;2017011420;   10;  0.00;eor
        403;2017011503;   10;  0.00;eor
        403;2017011504;   10;  0.00;eor
        403;2017011505;   10;  0.00;eor
        403;2017011506;   10;  0.00;eor
        403;2017011507;   10;  0.00;eor
        403;2017011508;   10;  0.00;eor
        403;2017011509;   10;  0.00;eor
        403;2017011510;   10;  0.00;eor
        403;2017011511;   10;  0.00;eor
        403;2017011512;   10;  0.00;eor
        403;2017011513;   10;  0.00;eor
        403;2017011514;   10;  0.00;eor
        403;2017011515;   10;  0.00;eor
        403;2017011516;   10;  0.00;eor
        403;2017011517;   10;  0.00;eor
        403;2017011518;   10;  0.00;eor
        403;2017011519;   10;  0.00;eor
        403;2017011520;   10;  0.00;eor
        403;2017011603;   10;  0.00;eor
        403;2017011604;   10;  0.00;eor
        403;2017011605;   10;  0.00;eor
        403;2017011606;   10;  0.00;eor
        403;2017011607;   10;  0.00;eor
        403;2017011608;   10;  8.00;eor
        403;2017011609;   10;  0.00;eor
        403;2017011610;   10;  7.00;eor
        403;2017011611;   10;  7.00;eor
        403;2017011612;   10;  1.00;eor
        403;2017011613;   10;  0.00;eor
        403;2017011614;   10;  0.00;eor
        403;2017011615;   10;  8.00;eor
        403;2017011616;   10;  0.00;eor
        403;2017011617;   10;  0.00;eor
        403;2017011618;   10;  0.00;eor
        403;2017011619;   10;  0.00;eor
        403;2017011620;   10;  0.00;eor
        403;2017011703;   10;  0.00;eor
